COMMUNE,LISTE,ORDRE,NOM,PRENOM
Fort-de-France,DEMOCRATES ET PROGRESSISTES,49,MILIA,Joseph
Fort-de-France,DEMOCRATES ET PROGRESSISTES,50,LARGEN,Nicole
Fort-de-France,DEMOCRATES ET PROGRESSISTES,51,RENCIOT,Félix
Fort-de-France,DÉMARÉ FODFWANS,1,CAROLE,Francis
Fort-de-France,DÉMARÉ FODFWANS,2,BELLAY,Béatrice
Fort-de-France,DÉMARÉ FODFWANS,3,CHARPENTIER-TITY,Clément
Fort-de-France,DÉMARÉ FODFWANS,4,CURTON,Sylviane
Fort-de-France,DÉMARÉ FODFWANS,5,DUBOURG,Thierry
Fort-de-France,DÉMARÉ FODFWANS,6,CHONVILLE,Nadia
Fort-de-France,DÉMARÉ FODFWANS,7,LAMON,Jocelyn
Fort-de-France,DÉMARÉ FODFWANS,8,LANDEAU,Sonia
Fort-de-France,DÉMARÉ FODFWANS,9,MADEL,Max
Fort-de-France,DÉMARÉ FODFWANS,10,ZÉBINA,Walatta
Fort-de-France,DÉMARÉ FODFWANS,11,GRANGENOIS,Roger
Fort-de-France,DÉMARÉ FODFWANS,12,GRUBO,Rolande
Fort-de-France,DÉMARÉ FODFWANS,13,PEMBELE,Ralph
Fort-de-France,DÉMARÉ FODFWANS,14,STANISLAS,Régine
Fort-de-France,DÉMARÉ FODFWANS,15,CLOÉ,Martin
Fort-de-France,DÉMARÉ FODFWANS,16,AMORY,Régine
Fort-de-France,DÉMARÉ FODFWANS,17,DEGRAS,Joël
Fort-de-France,DÉMARÉ FODFWANS,18,ETIENNE,Jane
Fort-de-France,DÉMARÉ FODFWANS,19,GRADEL,Thibault
Fort-de-France,DÉMARÉ FODFWANS,20,TREBEAU,Céline
Fort-de-France,DÉMARÉ FODFWANS,21,MONLOUIS-BONHEUR,Mike
Fort-de-France,DÉMARÉ FODFWANS,22,BARTY,Vanessa
Fort-de-France,DÉMARÉ FODFWANS,23,ATHANASE,André
Fort-de-France,DÉMARÉ FODFWANS,24,ZOU,France-Lise
Fort-de-France,DÉMARÉ FODFWANS,25,BARDET,Joël
Fort-de-France,DÉMARÉ FODFWANS,26,BOUTRIN,Jill
Fort-de-France,DÉMARÉ FODFWANS,27,MARAJO,Marc
Fort-de-France,DÉMARÉ FODFWANS,28,MARTINI,Hanna
Fort-de-France,DÉMARÉ FODFWANS,29,PLUCHART,Théo
Fort-de-France,DÉMARÉ FODFWANS,30,JEAN,Karine
Fort-de-France,DÉMARÉ FODFWANS,31,MELZA,Max
Fort-de-France,DÉMARÉ FODFWANS,32,SAHAI,Marie-Odile
Fort-de-France,DÉMARÉ FODFWANS,33,LAVIOLETTE,Daniel
Fort-de-France,DÉMARÉ FODFWANS,34,POURPOINT,Maroussia
Fort-de-France,DÉMARÉ FODFWANS,35,GUIOSE,Erick
Fort-de-France,DÉMARÉ FODFWANS,36,SIBA,Clarisse
Fort-de-France,DÉMARÉ FODFWANS,37,RIQUIER,Olivier
Fort-de-France,DÉMARÉ FODFWANS,38,RAUMAVILLE,Saléna
Fort-de-France,DÉMARÉ FODFWANS,39,PONCHATEAU,Stéphane
Fort-de-France,DÉMARÉ FODFWANS,40,BOUTON,Yveline
Fort-de-France,DÉMARÉ FODFWANS,41,VALMI,Alex
Fort-de-France,DÉMARÉ FODFWANS,42,NITIGA,Sylviane
Fort-de-France,DÉMARÉ FODFWANS,43,CAMBEL,Steve
Fort-de-France,DÉMARÉ FODFWANS,44,BELLAY,Miguelle
Fort-de-France,DÉMARÉ FODFWANS,45,MANO,Jordan
Fort-de-France,DÉMARÉ FODFWANS,46,JEAN-JOSEPH,Mireille
Fort-de-France,DÉMARÉ FODFWANS,47,LONIS,Michel
Fort-de-France,DÉMARÉ FODFWANS,48,VINCENT,Marie Annick
Fort-de-France,DÉMARÉ FODFWANS,49,SAINTE-CROIX,Medy
Fort-de-France,DÉMARÉ FODFWANS,50,MESDOUZE,Evelyne
Fort-de-France,DÉMARÉ FODFWANS,51,BRANCHI,Michel
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,1,JOS,Nathalie Marie Elisabeth
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,2,GUIOSE,Henri
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,3,BIEN-AIMÉ,Céline
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,4,BARCLAY,Jean-René
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,5,TOUL,Marie-France
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,6,ADÉLAÏDE,Gérard
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,7,ALIMÉLIE,Francine
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,8,GODERT,Alexis
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,9,MANYRI,Suzy
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,10,SAINTOT,Guy
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,11,DORESSAMY,Manuela
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,12,THÉODORE,Alain
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,13,CONDORIS PRECART,Betty
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,14,MAGAND,Christophe
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,15,HAYOT,Magali
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,16,RESOUF,Stève
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,17,PASCAL CHALU,Mirla
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,18,YERRO,Nelson
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,19,LUGIERY,Gaby
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,20,LOUIS-JOSEPH-DOGUÉ,Alfred
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,21,NELZI,Woua-Dye
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,22,DUFÉAL,Jean-Noël
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,23,MARKOS,Muriel
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,24,DAVID-DEHAL,Lucien
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,25,LUGIERY,Axelle
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,26,SENELY,Simon
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,27,HENRI,Mylène
